FireYear,SiteType,Plot,Round,Trap,Species,Caste,Abundance
2009,Fire,S1,1,BV1,bifarius,queen,1
2009,Fire,S1,1,BV2,mixtus,queen,1
2009,Fire,S1,1,BV3,NA,NA,0
2009,Fire,S2,1,BV1,bifarius,queen,9
2009,Fire,S2,1,BV1,flavifrons,queen,2
2009,Fire,S2,1,BV1,mixtus,queen,1
2009,Fire,S2,1,BV2,bifarius,queen,12
2009,Fire,S2,1,BV2,mixtus,queen,1
2009,Fire,S2,1,BV3,bifarius,queen,5
2009,Fire,S2,1,BV3,flavifrons,queen,1
2009,Fire,S3,1,BV1,bifarius,queen,2
2009,Fire,S3,1,BV2,bifarius,queen,1
2009,Fire,S3,1,BV2,flavifrons,queen,1
2009,Fire,S3,1,BV3,bifarius,queen,3
2009,Fire,S4,1,BV1,NA,NA,0
2009,Fire,S4,1,BV2,NA,NA,0
2009,Fire,S4,1,BV3,NA,NA,0
2009,Forest,F1,1,BV1,bifarius,queen,6
2009,Forest,F1,1,BV1,mixtus,queen,1
2009,Forest,F1,1,BV2,mixtus,queen,1
2009,Forest,F1,1,BV3,bifarius,queen,2
2009,Forest,F2,1,BV1,NA,NA,0
2009,Forest,F2,1,BV2,NA,NA,0
2009,Forest,F2,1,BV3,mixtus,queen,1
2009,Forest,F3,1,BV1,NA,NA,0
2009,Forest,F3,1,BV2,NA,NA,0
2009,Forest,F3,1,BV3,mixtus,queen,1
2009,Forest,F4,1,BV1,NA,NA,0
2009,Forest,F4,1,BV2,NA,NA,0
2009,Forest,F4,1,BV3,NA,NA,0
2010,Fire,S1,1,BV1,bifarius,queen,1
2010,Fire,S1,1,BV2,bifarius,queen,1
2010,Fire,S1,1,BV2,jonellus,worker,1
2010,Fire,S1,1,BV3,NA,NA,0
2010,Fire,S2,1,BV1,mixtus,queen,1
2010,Fire,S2,1,BV2,NA,NA,0
2010,Fire,S2,1,BV3,NA,NA,0
2010,Fire,S3,1,BV1,NA,NA,0
2010,Fire,S3,1,BV2,NA,NA,0
2010,Fire,S3,1,BV3,NA,NA,0
2010,Fire,S4,1,BV1,bifarius,worker,1
2010,Fire,S4,1,BV2,bifarius,worker,1
2010,Fire,S4,1,BV3,NA,NA,0
2010,Forest,F1,1,BV1,NA,NA,0
2010,Forest,F1,1,BV2,mixtus,queen,1
2010,Forest,F1,1,BV3,NA,NA,0
2010,Forest,F2,1,BV1,NA,NA,0
2010,Forest,F2,1,BV2,NA,NA,0
2010,Forest,F2,1,BV3,NA,NA,0
2010,Forest,F3,1,BV1,NA,NA,0
2010,Forest,F3,1,BV2,NA,NA,0
2010,Forest,F3,1,BV3,bifarius,worker,1
2010,Forest,F3,1,BV3,melanopygus,worker,1
2010,Forest,F4,1,BV1,NA,NA,0
2010,Forest,F4,1,BV2,NA,NA,0
2010,Forest,F4,1,BV3,NA,NA,0
2017,Fire,S1,1,BV1,bifarius,queen,2
2017,Fire,S1,1,BV1,bifarius,worker,2
2017,Fire,S1,1,BV1,mixtus,queen,1
2017,Fire,S1,1,BV1,rufocinctus,worker,1
2017,Fire,S2,1,BV1,bifarius,queen,1
2017,Fire,S2,1,BV1,mixtus,worker,1
2017,Fire,S2,1,BV2,NA,NA,0
2017,Fire,S2,1,BV3,bifarius,queen,2
2017,Fire,S2,1,BV3,bifarius,worker,1
2017,Fire,S3,1,BV1,mixtus,worker,1
2017,Fire,S3,1,BV2,bifarius,queen,1
2017,Fire,S3,1,BV3,mixtus,queen,1
2017,Fire,S4,1,BV1,mixtus,worker,1
2017,Fire,S4,1,BV2,NA,NA,0
2017,Fire,S4,1,BV3,NA,NA,0
2017,Forest,F1,1,BV2,NA,NA,0
2017,Forest,F1,1,BV3,NA,NA,0
2017,Forest,F2,1,BV1,NA,NA,0
2017,Forest,F2,1,BV2,NA,NA,0
2017,Forest,F2,1,BV3,NA,NA,0
2017,Forest,F3,1,BV1,bifarius,queen,1
2017,Forest,F3,1,BV2,NA,NA,0
2017,Forest,F3,1,BV3,NA,NA,0
2017,Forest,F4,1,BV1,NA,NA,0
2017,Forest,F4,1,BV2,mixtus,queen,1
2017,Forest,F4,1,BV3,NA,NA,0
2018,Fire,S1,1,BV1,bifarius,queen,1
2018,Fire,S1,1,BV2,NA,NA,0
2018,Fire,S1,1,BV3,mixtus,queen,1
2018,Forest,F1,1,BV1,bifarius,queen,1
2018,Forest,F1,1,BV2,mixtus,queen,1
2018,Forest,F1,1,BV2,bifarius,queen,1
2018,Forest,F1,1,BV3,bifarius,queen,1
2009,Fire,S1,2,BV1,NA,NA,0
2009,Fire,S1,2,BV2,mixtus,worker,1
2009,Fire,S1,2,BV3,jonellus,worker,1
2009,Fire,S2,2,BV1,bifarius,worker,4
2009,Fire,S2,2,BV1,mixtus,worker,1
2009,Fire,S2,2,BV2,bifarius,queen,3
2009,Fire,S2,2,BV3,NA,NA,0
2009,Fire,S3,2,BV1,NA,NA,0
2009,Fire,S3,2,BV2,bifarius,worker,1
2009,Fire,S3,2,BV3,flavifrons,worker,1
2009,Fire,S4,2,BV1,melanopygus,queen,1
2009,Fire,S4,2,BV1,bifarius,worker,2
2009,Fire,S4,2,BV1,flavifrons,worker,1
2009,Fire,S4,2,BV1,bifarius,male,2
2009,Fire,S4,2,BV1,sitkensis,worker,1
2009,Fire,S4,2,BV1,mixtus,worker,1
2009,Fire,S4,2,BV1,flavifrons,male,1
2009,Fire,S4,2,BV2,flavifrons,queen,1
2009,Fire,S4,2,BV2,bifarius,worker,2
2009,Fire,S4,2,BV2,flavidus,male,1
2009,Fire,S4,2,BV3,mixtus,queen,1
2009,Fire,S4,2,BV3,bifarius,worker,4
2009,Fire,S4,2,BV3,mixtus,worker,4
2009,Fire,S4,2,BV3,sitkensis,queen,1
2009,Fire,S4,2,BV3,flavifrons,worker,1
2009,Fire,S4,2,BV3,flavifrons,male,1
2009,Fire,S4,2,BV3,melanopygus,male,2
2009,Fire,S4,2,BV3,sitkensis,male,1
2009,Forest,F1,2,BV1,bifarius,queen,1
2009,Forest,F1,2,BV1,bifarius,worker,2
2009,Forest,F1,2,BV1,flavifrons,worker,1
2009,Forest,F1,2,BV1,melanopygus,worker,1
2009,Forest,F1,2,BV1,mixtus,worker,1
2009,Forest,F1,2,BV1,flavifrons,male,1
2009,Forest,F1,2,BV2,flavifrons,queen,1
2009,Forest,F1,2,BV3,melanopygus,worker,1
2009,Forest,F2,2,BV1,NA,NA,0
2009,Forest,F2,2,BV2,bifarius,worker,1
2009,Forest,F2,2,BV2,sitkensis,worker,1
2009,Forest,F2,2,BV3,bifarius,worker,1
2009,Forest,F3,2,BV1,flavifrons,worker,1
2009,Forest,F3,2,BV2,NA,NA,0
2009,Forest,F3,2,BV3,melanopygus,worker,1
2009,Forest,F3,2,BV3,melanopygus,male,1
2009,Forest,F3,2,BV3,mixtus,worker,1
2009,Forest,F3,2,BV3,flavifrons,male,1
2009,Forest,F4,2,BV1,bifarius,worker,1
2009,Forest,F4,2,BV2,bifarius,worker,3
2009,Forest,F4,2,BV2,mixtus,worker,2
2009,Forest,F4,2,BV3,bifarius,worker,2
2010,Fire,S1,2,BV1,bifarius,worker,1
2010,Fire,S1,2,BV1,flavifrons,worker,1
2010,Fire,S1,2,BV2,NA,NA,0
2010,Fire,S1,2,BV3,bifarius,queen,1
2010,Fire,S2,2,BV1,NA,NA,0
2010,Fire,S2,2,BV2,bifarius,worker,2
2010,Fire,S2,2,BV2,flavifrons,worker,1
2010,Fire,S2,2,BV3,NA,NA,0
2010,Fire,S3,2,BV1,insularis,queen,1
2010,Fire,S3,2,BV1,melanopygus,worker,4
2010,Fire,S3,2,BV1,bifarius,worker,3
2010,Fire,S3,2,BV1,mixtus,worker,2
2010,Fire,S3,2,BV1,mixtus,queen,1
2010,Fire,S3,2,BV1,flavifrons,worker,1
2010,Fire,S3,2,BV1,mixtus,male,1
2010,Fire,S3,2,BV1,kirbiellus,male,1
2010,Fire,S3,2,BV2,bifarius,worker,4
2010,Fire,S3,2,BV2,mixtus,worker,2
2010,Fire,S3,2,BV2,flavifrons,worker,1
2010,Fire,S3,2,BV3,bifarius,queen,1
2010,Fire,S3,2,BV3,bifarius,worker,1
2010,Fire,S3,2,BV3,flavifrons,worker,1
2010,Fire,S3,2,BV3,mixtus,worker,1
2010,Fire,S4,2,BV1,bifarius,worker,1
2010,Fire,S4,2,BV1,mixtus,worker,7
2010,Fire,S4,2,BV1,melanopygus,worker,1
2010,Fire,S4,2,BV1,flavifrons,worker,2
2010,Fire,S4,2,BV1,mixtus,queen,1
2010,Fire,S4,2,BV1,insularis,male,1
2010,Fire,S4,2,BV2,bifarius,worker,5
2010,Fire,S4,2,BV2,melanopygus,worker,1
2010,Fire,S4,2,BV2,melanopygus,male,1
2010,Fire,S4,2,BV2,flavifrons,worker,2
2010,Fire,S4,2,BV2,flavifrons,queen,1
2010,Fire,S4,2,BV2,mixtus,worker,2
2010,Fire,S4,2,BV3,mixtus,worker,2
2010,Fire,S4,2,BV3,bifarius,worker,3
2010,Fire,S4,2,BV3,flavifrons,worker,1
2010,Forest,F1,2,BV1,NA,NA,0
2010,Forest,F1,2,BV2,mixtus,worker,1
2010,Forest,F1,2,BV3,mixtus,worker,2
2010,Forest,F2,2,BV1,NA,NA,0
2010,Forest,F2,2,BV2,flavifrons,worker,1
2010,Forest,F2,2,BV3,flavifrons,worker,1
2010,Forest,F3,2,BV1,flavifrons,male,1
2010,Forest,F3,2,BV2,NA,NA,0
2010,Forest,F3,2,BV3,flavifrons,worker,1
2010,Forest,F4,2,BV1,flavifrons,queen,1
2010,Forest,F4,2,BV1,bifarius,male,1
2010,Forest,F4,2,BV1,bifarius,worker,1
2010,Forest,F4,2,BV2,mixtus,worker,1
2010,Forest,F4,2,BV3,flavifrons,male,1
2017,Fire,S1,2,BV1,bifarius,worker,1
2017,Fire,S1,2,BV1,mixtus,worker,1
2017,Fire,S1,2,BV1,rufocinctus,male,1
2017,Fire,S1,2,BV2,bifarius,worker,2
2017,Fire,S1,2,BV3,bifarius,worker,2
2017,Fire,S1,2,BV3,rufocinctus,worker,1
2017,Fire,S2,2,BV1,melanopygus,worker,1
2017,Fire,S2,2,BV1,rufocinctus,queen,1
2017,Fire,S2,2,BV1,flavifrons,queen,1
2017,Fire,S2,2,BV2,NA,NA,0
2017,Fire,S2,2,BV3,flavifrons,male,1
2017,Fire,S3,2,BV1,melanopygus,queen,1
2017,Fire,S3,2,BV1,melanopygus,worker,1
2017,Fire,S3,2,BV1,mixtus,worker,1
2017,Fire,S3,2,BV1,rufocinctus,worker,2
2017,Fire,S3,2,BV2,bifarius,male,1
2017,Fire,S3,2,BV3,bifarius,worker,1
2017,Fire,S3,2,BV3,rufocinctus,worker,1
2017,Fire,S4,2,BV1,bifarius,worker,1
2017,Fire,S4,2,BV1,mixtus,worker,1
2017,Fire,S4,2,BV1,sitkensis,worker,1
2017,Fire,S4,2,BV2,bifarius,worker,1
2017,Fire,S4,2,BV2,mixtus,worker,1
2017,Fire,S4,2,BV2,flavifrons,worker,1
2017,Fire,S4,2,BV3,melanopygus,worker,1
2017,Fire,S4,2,BV3,mixtus,worker,1
2017,Forest,F1,2,BV1,NA,NA,0
2017,Forest,F1,2,BV2,NA,NA,0
2017,Forest,F1,2,BV3,insularis,queen,1
2017,Forest,F1,2,BV3,flavifrons,queen,1
2017,Forest,F1,2,BV3,flavifrons,male,1
2017,Forest,F1,2,BV3,sitkensis,male,1
2017,Forest,F2,2,BV1,mixtus,worker,1
2017,Forest,F2,2,BV2,flavifrons,worker,3
2017,Forest,F2,2,BV2,flavifrons,male,1
2017,Forest,F2,2,BV2,mixtus,worker,2
2017,Forest,F2,2,BV2,sitkensis,male,1
2017,Forest,F2,2,BV3,flavifrons,queen,1
2017,Forest,F2,2,BV3,mixtus,male,1
2017,Forest,F3,2,BV1,flavifrons,male,1
2017,Forest,F3,2,BV2,bifarius,queen,1
2017,Forest,F3,2,BV2,bifarius,worker,1
2017,Forest,F3,2,BV2,flavifrons,male,1
2017,Forest,F3,2,BV2,mixtus,queen,1
2017,Forest,F3,2,BV3,sitkensis,worker,1
2017,Forest,F3,2,BV3,sitkensis,queen,1
2017,Forest,F4,2,BV1,NA,NA,0
2017,Forest,F4,2,BV2,NA,NA,0
2017,Forest,F4,2,BV3,NA,NA,0
2018,Fire,S1,2,BV1,bifarius,worker,2
2018,Fire,S1,2,BV1,mixtus,worker,1
2018,Fire,S1,2,BV1,flavifrons,male,1
2018,Fire,S1,2,BV1,flavidus,male,1
2018,Fire,S1,2,BV2,melanopygus,queen,1
2018,Fire,S1,2,BV2,melanopygus,worker,1
2018,Fire,S1,2,BV2,melanopygus,male,1
2018,Fire,S1,2,BV2,mixtus,worker,1
2018,Fire,S1,2,BV2,bifarius,worker,1
2018,Fire,S1,2,BV2,flavifrons,worker,1
2018,Fire,S1,2,BV3,melanopygus,worker,2
2018,Fire,S1,2,BV3,bifarius,worker,1
2018,Fire,S1,2,BV3,bifarius,male,1
2018,Fire,S1,2,BV3,mixtus,male,1
2018,Forest,F1,2,BV1,NA,NA,0
2018,Forest,F1,2,BV2,NA,NA,0
2018,Forest,F1,2,BV3,bifarius,worker,1
2018,Forest,F1,2,BV3,mixtus,worker,1
